Stat,Rank,Value,Team,Year
Red Zone Offense,70,0.833,Tennessee  Volunteers,2016
Red Zone Defense,T-17,0.756,Tennessee  Volunteers,2016
Net Punting,31,38.98,Tennessee  Volunteers,2016
Punt Returns,4,17.18,Tennessee  Volunteers,2016
Kickoff Returns,1,33.41,Tennessee  Volunteers,2016
First Downs Offense,T-38,293,Tennessee  Volunteers,2016
First Downs Defense,27,235,Tennessee  Volunteers,2016
Fewest Penalties Per Game,T-21,5.08,Tennessee  Volunteers,2016
Fewest Penalty Yards Per Game,18,40.77,Tennessee  Volunteers,2016
Time of Possession,51,30:32,Tennessee  Volunteers,2016
Total Offense,92,370.8,Texas  Longhorns,2016
Rushing Offense,17,224.8,Texas  Longhorns,2016
Passing Offense,117,145.9,Texas  Longhorns,2016
Team Passing Efficiency,92,120.55,Texas  Longhorns,2016
Scoring Offense,83,26.4,Texas  Longhorns,2016
Total Defense,106,452.6,Texas  Longhorns,2016
Rushing Defense,111,219.2,Texas  Longhorns,2016
Passing Yards Allowed,73,233.4,Texas  Longhorns,2016
Team Passing Efficiency Defense,87,135.47,Texas  Longhorns,2016
Scoring Defense,87,30.3,Texas  Longhorns,2016
Turnover Margin,8,0.92,Texas  Longhorns,2016
3rd Down Conversion Pct,102,0.353,Texas  Longhorns,2016
4th Down Conversion Pct,T-104,0.400,Texas  Longhorns,2016
3rd Down Conversion Pct Defense,104,0.442,Texas  Longhorns,2016
4th Down Conversion Pct Defense,T-82,0.529,Texas  Longhorns,2016
Red Zone Offense,26,0.882,Texas  Longhorns,2016
Red Zone Defense,121,0.922,Texas  Longhorns,2016
Net Punting,26,39.34,Texas  Longhorns,2016
Punt Returns,27,12.13,Texas  Longhorns,2016
Kickoff Returns,96,19.77,Texas  Longhorns,2016
First Downs Offense,120,202,Texas  Longhorns,2016
First Downs Defense,114,306,Texas  Longhorns,2016
Fewest Penalties Per Game,T-78,6.42,Texas  Longhorns,2016
Fewest Penalty Yards Per Game,89,59.08,Texas  Longhorns,2016
Time of Possession,114,27:07,Texas  Longhorns,2016
Total Offense,50,424.7,Texas A&M Aggies,2016
Rushing Offense,66,169.1,Texas A&M Aggies,2016
Passing Offense,39,255.6,Texas A&M Aggies,2016
Team Passing Efficiency,76,125.44,Texas A&M Aggies,2016
Scoring Offense,T-71,27.8,Texas A&M Aggies,2016
Total Defense,51,380.0,Texas A&M Aggies,2016
Rushing Defense,107,213.7,Texas A&M Aggies,2016
Passing Yards Allowed,4,166.3,Texas A&M Aggies,2016
Team Passing Efficiency Defense,18,111.94,Texas A&M Aggies,2016
Scoring Defense,T-28,22.0,Texas A&M Aggies,2016
Turnover Margin,102,-0.46,Texas A&M Aggies,2016
3rd Down Conversion Pct,41,0.423,Texas A&M Aggies,2016
4th Down Conversion Pct,121,0.300,Texas A&M Aggies,2016
3rd Down Conversion Pct Defense,16,0.330,Texas A&M Aggies,2016
4th Down Conversion Pct Defense,T-2,0.200,Texas A&M Aggies,2016
Red Zone Offense,102,0.778,Texas A&M Aggies,2016
Red Zone Defense,61,0.830,Texas A&M Aggies,2016
Net Punting,16,40.24,Texas A&M Aggies,2016
Punt Returns,1,19.68,Texas A&M Aggies,2016
Kickoff Returns,92,19.94,Texas A&M Aggies,2016
First Downs Offense,38,293,Texas A&M Aggies,2016
First Downs Defense,43,247,Texas A&M Aggies,2016
Fewest Penalties Per Game,T-76,6.38,Texas A&M Aggies,2016
Fewest Penalty Yards Per Game,63,54.85,Texas A&M Aggies,2016
Time of Possession,99,28:12,Texas A&M Aggies,2016
Total Offense,53,416.7,Texas St. Bobcats,2016
Rushing Offense,43,187.3,Texas St. Bobcats,2016
Passing Offense,58,229.3,Texas St. Bobcats,2016
Team Passing Efficiency,98,117.32,Texas St. Bobcats,2016
Scoring Offense,80,26.9,Texas St. Bobcats,2016
Total Defense,123,521.8,Texas St. Bobcats,2016
Rushing Defense,122,258.0,Texas St. Bobcats,2016
Passing Yards Allowed,108,263.8,Texas St. Bobcats,2016
Team Passing Efficiency Defense,125,165.34,Texas St. Bobcats,2016
Scoring Defense,119,39.2,Texas St. Bobcats,2016
Turnover Margin,T-105,-0.58,Texas St. Bobcats,2016
3rd Down Conversion Pct,94,0.364,Texas St. Bobcats,2016
4th Down Conversion Pct,29,0.615,Texas St. Bobcats,2016
3rd Down Conversion Pct Defense,123,0.491,Texas St. Bobcats,2016
4th Down Conversion Pct Defense,T-62,0.500,Texas St. Bobcats,2016
Red Zone Offense,112,0.761,Texas St. Bobcats,2016
Red Zone Defense,90,0.868,Texas St. Bobcats,2016
Net Punting,14,40.38,Texas St. Bobcats,2016
Punt Returns,26,12.20,Texas St. Bobcats,2016
Kickoff Returns,94,19.81,Texas St. Bobcats,2016
First Downs Offense,71,256,Texas St. Bobcats,2016
First Downs Defense,99,286,Texas St. Bobcats,2016
Fewest Penalties Per Game,T-64,6.08,Texas St. Bobcats,2016
Fewest Penalty Yards Per Game,69,55.92,Texas St. Bobcats,2016
Time of Possession,85,28:57,Texas St. Bobcats,2016
Total Offense,2,579.5,Texas Tech Red Raiders,2016
Rushing Offense,40,191.3,Texas Tech Red Raiders,2016
Passing Offense,2,388.2,Texas Tech Red Raiders,2016
Team Passing Efficiency,29,147.03,Texas Tech Red Raiders,2016
Scoring Offense,2,45.1,Texas Tech Red Raiders,2016
Total Defense,126,547.7,Texas Tech Red Raiders,2016
Rushing Defense,126,279.9,Texas Tech Red Raiders,2016
Passing Yards Allowed,T-112,267.8,Texas Tech Red Raiders,2016
Team Passing Efficiency Defense,96,139.43,Texas Tech Red Raiders,2016
Scoring Defense,124,43.6,Texas Tech Red Raiders,2016
Turnover Margin,T-51,0.15,Texas Tech Red Raiders,2016
3rd Down Conversion Pct,1,0.517,Texas Tech Red Raiders,2016
4th Down Conversion Pct,T-77,0.478,Texas Tech Red Raiders,2016
3rd Down Conversion Pct Defense,124,0.497,Texas Tech Red Raiders,2016
4th Down Conversion Pct Defense,T-33,0.438,Texas Tech Red Raiders,2016
Red Zone Offense,T-34,0.875,Texas Tech Red Raiders,2016
Red Zone Defense,T-83,0.859,Texas Tech Red Raiders,2016
Net Punting,57,37.51,Texas Tech Red Raiders,2016
Punt Returns,T-92,6.29,Texas Tech Red Raiders,2016
Kickoff Returns,81,20.53,Texas Tech Red Raiders,2016
First Downs Offense,5,368,Texas Tech Red Raiders,2016
First Downs Defense,124,337,Texas Tech Red Raiders,2016
Fewest Penalties Per Game,101,7.08,Texas Tech Red Raiders,2016
Fewest Penalty Yards Per Game,103,64.31,Texas Tech Red Raiders,2016
Time of Possession,105,27:53,Texas Tech Red Raiders,2016
Total Offense,30,460.9,Toledo  Rockets,2016
Rushing Offense,27,207.9,Toledo  Rockets,2016
Passing Offense,40,253.0,Toledo  Rockets,2016
Team Passing Efficiency,55,132.66,Toledo  Rockets,2016
Scoring Offense,31,35.0,Toledo  Rockets,2016
Total Defense,46,374.8,Toledo  Rockets,2016
Rushing Defense,10,115.2,Toledo  Rockets,2016
Passing Yards Allowed,105,259.7,Toledo  Rockets,2016
Team Passing Efficiency Defense,36,119.00,Toledo  Rockets,2016
Scoring Defense,21,20.8,Toledo  Rockets,2016
Turnover Margin,T-21,0.67,Toledo  Rockets,2016
3rd Down Conversion Pct,17,0.462,Toledo  Rockets,2016
4th Down Conversion Pct,85,0.455,Toledo  Rockets,2016
3rd Down Conversion Pct Defense,75,0.403,Toledo  Rockets,2016
4th Down Conversion Pct Defense,27,0.421,Toledo  Rockets,2016
Red Zone Offense,61,0.839,Toledo  Rockets,2016
Red Zone Defense,2,0.675,Toledo  Rockets,2016
Net Punting,106,35.49,Toledo  Rockets,2016
Punt Returns,34,10.96,Toledo  Rockets,2016
Kickoff Returns,50,21.66,Toledo  Rockets,2016
First Downs Offense,T-59,268,Toledo  Rockets,2016
First Downs Defense,T-39,246,Toledo  Rockets,2016
Fewest Penalties Per Game,T-119,8.00,Toledo  Rockets,2016
Fewest Penalty Yards Per Game,111,68.17,Toledo  Rockets,2016
Time of Possession,70,29:32,Toledo  Rockets,2016
Total Offense,102,359.9,Troy Trojans,2016
Rushing Offense,116,119.1,Troy Trojans,2016
Passing Offense,48,240.8,Troy Trojans,2016
Team Passing Efficiency,68,129.20,Troy Trojans,2016
Scoring Offense,70,27.9,Troy Trojans,2016
Total Defense,57,391.3,Troy Trojans,2016
Rushing Defense,91,192.2,Troy Trojans,2016
Passing Yards Allowed,29,199.1,Troy Trojans,2016
Team Passing Efficiency Defense,80,133.75,Troy Trojans,2016
Scoring Defense,78,28.3,Troy Trojans,2016
Turnover Margin,T-66,0.00,Troy Trojans,2016
3rd Down Conversion Pct,104,0.351,Troy Trojans,2016
4th Down Conversion Pct,111,0.368,Troy Trojans,2016
3rd Down Conversion Pct Defense,42,0.360,Troy Trojans,2016
4th Down Conversion Pct Defense,112,0.613,Troy Trojans,2016
Red Zone Offense,48,0.865,Troy Trojans,2016
Red Zone Defense,54,0.822,Troy Trojans,2016
Net Punting,94,35.90,Troy Trojans,2016
Punt Returns,25,12.37,Troy Trojans,2016
Kickoff Returns,T-120,17.67,Troy Trojans,2016
First Downs Offense,104,226,Troy Trojans,2016
First Downs Defense,T-54,253,Troy Trojans,2016
Fewest Penalties Per Game,85,6.67,Troy Trojans,2016
Fewest Penalty Yards Per Game,79,57.58,Troy Trojans,2016
Time of Possession,124,26:12,Troy Trojans,2016
Total Offense,119,317.0,Tulane Green Wave,2016
Rushing Offense,118,115.8,Tulane Green Wave,2016
Passing Offense,90,201.3,Tulane Green Wave,2016
Team Passing Efficiency,107,110.98,Tulane Green Wave,2016
Scoring Offense,113,19.7,Tulane Green Wave,2016
Total Defense,80,412.3,Tulane Green Wave,2016
Rushing Defense,74,178.8,Tulane Green Wave,2016
Passing Yards Allowed,T-73,233.4,Tulane Green Wave,2016
Team Passing Efficiency Defense,109,146.63,Tulane Green Wave,2016
Scoring Defense,110,36.3,Tulane Green Wave,2016
Turnover Margin,T-58,0.08,Tulane Green Wave,2016
3rd Down Conversion Pct,111,0.346,Tulane Green Wave,2016
4th Down Conversion Pct,119,0.313,Tulane Green Wave,2016
3rd Down Conversion Pct Defense,114,0.464,Tulane Green Wave,2016
4th Down Conversion Pct Defense,T-105,0.591,Tulane Green Wave,2016
Red Zone Offense,16,0.893,Tulane Green Wave,2016
Red Zone Defense,72,0.843,Tulane Green Wave,2016
Net Punting,125,31.88,Tulane Green Wave,2016
Punt Returns,92,6.29,Tulane Green Wave,2016
Kickoff Returns,114,18.28,Tulane Green Wave,2016
First Downs Offense,122,195,Tulane Green Wave,2016
First Downs Defense,59,256,Tulane Green Wave,2016
Fewest Penalties Per Game,56,5.83,Tulane Green Wave,2016
Fewest Penalty Yards Per Game,58,53.42,Tulane Green Wave,2016
Time of Possession,97,28:19,Tulane Green Wave,2016
Total Offense,13,507.4,Tulsa  Golden Hurricane,2016
Rushing Offense,61,174.2,Tulsa  Golden Hurricane,2016
Passing Offense,11,333.2,Tulsa  Golden Hurricane,2016
Team Passing Efficiency,27,149.47,Tulsa  Golden Hurricane,2016
Scoring Offense,21,37.2,Tulsa  Golden Hurricane,2016
Total Defense,125,536.6,Tulsa  Golden Hurricane,2016
Rushing Defense,117,239.7,Tulsa  Golden Hurricane,2016
Passing Yards Allowed,124,296.9,Tulsa  Golden Hurricane,2016
Team Passing Efficiency Defense,108,146.11,Tulsa  Golden Hurricane,2016
Scoring Defense,120,39.8,Tulsa  Golden Hurricane,2016
Turnover Margin,T-39,0.31,Tulsa  Golden Hurricane,2016
3rd Down Conversion Pct,26,0.441,Tulsa  Golden Hurricane,2016
4th Down Conversion Pct,55,0.538,Tulsa  Golden Hurricane,2016
3rd Down Conversion Pct Defense,108,0.447,Tulsa  Golden Hurricane,2016
4th Down Conversion Pct Defense,T-77,0.524,Tulsa  Golden Hurricane,2016
Red Zone Offense,51,0.860,Tulsa  Golden Hurricane,2016
Red Zone Defense,87,0.864,Tulsa  Golden Hurricane,2016
Net Punting,82,36.71,Tulsa  Golden Hurricane,2016
Punt Returns,T-21,12.67,Tulsa  Golden Hurricane,2016
Kickoff Returns,99,19.63,Tulsa  Golden Hurricane,2016
First Downs Offense,T-15,332,Tulsa  Golden Hurricane,2016
First Downs Defense,127,345,Tulsa  Golden Hurricane,2016
Fewest Penalties Per Game,T-93,7.00,Tulsa  Golden Hurricane,2016
Fewest Penalty Yards Per Game,71,56.15,Tulsa  Golden Hurricane,2016
Time of Possession,109,27:44,Tulsa  Golden Hurricane,2016
Total Offense,127,268.4,UCF Knights,2016
Rushing Offense,126,81.3,UCF Knights,2016
Passing Offense,102,187.2,UCF Knights,2016
Team Passing Efficiency,122,93.31,UCF Knights,2016
Scoring Offense,125,13.9,UCF Knights,2016
Total Defense,113,464.1,UCF Knights,2016
Rushing Defense,100,199.2,UCF Knights,2016
Passing Yards Allowed,109,264.9,UCF Knights,2016
Team Passing Efficiency Defense,126,166.95,UCF Knights,2016
Scoring Defense,117,37.7,UCF Knights,2016
Turnover Margin,126,-1.67,UCF Knights,2016
3rd Down Conversion Pct,124,0.292,UCF Knights,2016
4th Down Conversion Pct,T-115,0.333,UCF Knights,2016
3rd Down Conversion Pct Defense,122,0.475,UCF Knights,2016
4th Down Conversion Pct Defense,118,0.667,UCF Knights,2016
Red Zone Offense,T-114,0.750,UCF Knights,2016
Red Zone Defense,114,0.906,UCF Knights,2016
Net Punting,10,40.87,UCF Knights,2016
Punt Returns,98,6.00,UCF Knights,2016
Kickoff Returns,33,22.95,UCF Knights,2016
First Downs Offense,124,189,UCF Knights,2016
First Downs Defense,T-76,267,UCF Knights,2016
Fewest Penalties Per Game,32,5.33,UCF Knights,2016
Fewest Penalty Yards Per Game,28,45.08,UCF Knights,2016
Time of Possession,111,27:35,UCF Knights,2016
Total Offense,28,465.9,UCLA Bruins,2016
Rushing Offense,59,177.5,UCLA Bruins,2016
Passing Offense,25,288.4,UCLA Bruins,2016
Team Passing Efficiency,62,130.36,UCLA Bruins,2016
Scoring Offense,45,32.2,UCLA Bruins,2016
Total Defense,67,401.7,UCLA Bruins,2016
Rushing Defense,97,198.5,UCLA Bruins,2016
Passing Yards Allowed,36,203.2,UCLA Bruins,2016
Team Passing Efficiency Defense,26,113.42,UCLA Bruins,2016
Scoring Defense,54,26.0,UCLA Bruins,2016
Turnover Margin,T-66,0.00,UCLA Bruins,2016
3rd Down Conversion Pct,23,0.451,UCLA Bruins,2016
4th Down Conversion Pct,T-29,0.615,UCLA Bruins,2016
3rd Down Conversion Pct Defense,71,0.396,UCLA Bruins,2016
4th Down Conversion Pct Defense,100,0.577,UCLA Bruins,2016
Red Zone Offense,15,0.895,UCLA Bruins,2016
Red Zone Defense,67,0.837,UCLA Bruins,2016
Net Punting,70,37.14,UCLA Bruins,2016
Punt Returns,35,10.95,UCLA Bruins,2016
Kickoff Returns,38,22.51,UCLA Bruins,2016
First Downs Offense,33,301,UCLA Bruins,2016
First Downs Defense,115,307,UCLA Bruins,2016
Fewest Penalties Per Game,123,8.31,UCLA Bruins,2016
Fewest Penalty Yards Per Game,117,70.46,UCLA Bruins,2016
Time of Possession,125,25:55,UCLA Bruins,2016
Total Offense,123,310.3,"UConn Huskies, UConn",2016
Rushing Offense,114,124.8,"UConn Huskies, UConn",2016
Passing Offense,103,185.5,"UConn Huskies, UConn",2016
Team Passing Efficiency,88,121.82,"UConn Huskies, UConn",2016
Scoring Offense,121,17.2,"UConn Huskies, UConn",2016
Total Defense,33,355.1,"UConn Huskies, UConn",2016
Rushing Defense,60,165.8,"UConn Huskies, UConn",2016
Passing Yards Allowed,20,189.3,"UConn Huskies, UConn",2016
Team Passing Efficiency Defense,24,112.70,"UConn Huskies, UConn",2016
Scoring Defense,15,19.5,"UConn Huskies, UConn",2016
Turnover Margin,T-15,0.69,"UConn Huskies, UConn",2016
3rd Down Conversion Pct,116,0.318,"UConn Huskies, UConn",2016
4th Down Conversion Pct,T-121,0.300,"UConn Huskies, UConn",2016
3rd Down Conversion Pct Defense,80,0.405,"UConn Huskies, UConn",2016
4th Down Conversion Pct Defense,T-20,0.391,"UConn Huskies, UConn",2016
Red Zone Offense,98,0.788,"UConn Huskies, UConn",2016
Red Zone Defense,7,0.727,"UConn Huskies, UConn",2016
Net Punting,112,35.20,"UConn Huskies, UConn",2016
Punt Returns,127,0.40,"UConn Huskies, UConn",2016
Kickoff Returns,108,19.00,"UConn Huskies, UConn",2016
First Downs Offense,112,215,"UConn Huskies, UConn",2016
First Downs Defense,T-33,241,"UConn Huskies, UConn",2016
Fewest Penalties Per Game,T-47,5.69,"UConn Huskies, UConn",2016
Fewest Penalty Yards Per Game,31,45.77,"UConn Huskies, UConn",2016
Time of Possession,48,30:49,"UConn Huskies, UConn",2016
Total Offense,59,405.1,UNLV Rebels,2016
Rushing Offense,36,193.7,UNLV Rebels,2016
Passing Offense,77,211.4,UNLV Rebels,2016
Team Passing Efficiency,82,123.95,UNLV Rebels,2016
Scoring Offense,T-66,28.6,UNLV Rebels,2016
Total Defense,109,457.3,UNLV Rebels,2016
Rushing Defense,110,217.5,UNLV Rebels,2016
Passing Yards Allowed,86,239.8,UNLV Rebels,2016
Team Passing Efficiency Defense,53,123.24,UNLV Rebels,2016
Scoring Defense,100,33.7,UNLV Rebels,2016
Turnover Margin,37,0.33,UNLV Rebels,2016
3rd Down Conversion Pct,98,0.360,UNLV Rebels,2016
4th Down Conversion Pct,124,0.263,UNLV Rebels,2016
3rd Down Conversion Pct Defense,76,0.404,UNLV Rebels,2016
4th Down Conversion Pct Defense,T-18,0.381,UNLV Rebels,2016
Red Zone Offense,100,0.783,UNLV Rebels,2016
Red Zone Defense,118,0.913,UNLV Rebels,2016
Net Punting,74,37.04,UNLV Rebels,2016
Punt Returns,102,5.50,UNLV Rebels,2016
Kickoff Returns,66,21.09,UNLV Rebels,2016
First Downs Offense,75,255,UNLV Rebels,2016
First Downs Defense,T-92,278,UNLV Rebels,2016
Fewest Penalties Per Game,13,4.75,UNLV Rebels,2016
Fewest Penalty Yards Per Game,26,44.83,UNLV Rebels,2016
Time of Possession,43,31:05,UNLV Rebels,2016
Total Offense,107,342.3,UTEP Miners,2016
Rushing Offense,97,146.8,UTEP Miners,2016
Passing Offense,94,195.5,UTEP Miners,2016
Team Passing Efficiency,100,116.40,UTEP Miners,2016
Scoring Offense,112,20.7,UTEP Miners,2016
Total Defense,93,427.8,UTEP Miners,2016
Rushing Defense,T-54,162.8,UTEP Miners,2016
Passing Yards Allowed,110,265.0,UTEP Miners,2016
Team Passing Efficiency Defense,117,152.07,UTEP Miners,2016
Scoring Defense,98,32.9,UTEP Miners,2016
Turnover Margin,T-113,-0.92,UTEP Miners,2016
3rd Down Conversion Pct,64,0.397,UTEP Miners,2016
4th Down Conversion Pct,T-66,0.500,UTEP Miners,2016
3rd Down Conversion Pct Defense,T-40,0.357,UTEP Miners,2016
4th Down Conversion Pct Defense,46,0.467,UTEP Miners,2016
Red Zone Offense,46,0.867,UTEP Miners,2016
Red Zone Defense,T-78,0.854,UTEP Miners,2016
Net Punting,83,36.62,UTEP Miners,2016
Punt Returns,66,8.28,UTEP Miners,2016
Kickoff Returns,98,19.73,UTEP Miners,2016
First Downs Offense,T-115,211,UTEP Miners,2016
First Downs Defense,T-19,226,UTEP Miners,2016
Fewest Penalties Per Game,T-13,4.75,UTEP Miners,2016
Fewest Penalty Yards Per Game,20,41.92,UTEP Miners,2016
Time of Possession,6,33:38,UTEP Miners,2016
Total Offense,98,362.3,UTSA Roadrunners,2016
Rushing Offense,68,168.8,UTSA Roadrunners,2016
Passing Offense,96,193.4,UTSA Roadrunners,2016
Team Passing Efficiency,85,122.24,UTSA Roadrunners,2016
Scoring Offense,104,22.6,UTSA Roadrunners,2016
Total Defense,100,444.1,UTSA Roadrunners,2016
Rushing Defense,67,168.9,UTSA Roadrunners,2016
Passing Yards Allowed,117,275.2,UTSA Roadrunners,2016
Team Passing Efficiency Defense,92,138.28,UTSA Roadrunners,2016
Scoring Defense,101,33.8,UTSA Roadrunners,2016
Turnover Margin,T-79,-0.08,UTSA Roadrunners,2016
3rd Down Conversion Pct,59,0.405,UTSA Roadrunners,2016
4th Down Conversion Pct,125,0.214,UTSA Roadrunners,2016
3rd Down Conversion Pct Defense,87,0.415,UTSA Roadrunners,2016
4th Down Conversion Pct Defense,T-93,0.556,UTSA Roadrunners,2016
Red Zone Offense,113,0.756,UTSA Roadrunners,2016
Red Zone Defense,T-34,0.793,UTSA Roadrunners,2016
Net Punting,98,35.78,UTSA Roadrunners,2016
Punt Returns,T-106,5.16,UTSA Roadrunners,2016
Kickoff Returns,73,20.76,UTSA Roadrunners,2016
First Downs Offense,87,244,UTSA Roadrunners,2016
First Downs Defense,96,283,UTSA Roadrunners,2016
Fewest Penalties Per Game,T-93,7.00,UTSA Roadrunners,2016
Fewest Penalty Yards Per Game,108,65.67,UTSA Roadrunners,2016
Time of Possession,92,28:33,UTSA Roadrunners,2016
Total Offense,97,363.0,Utah  Utes,2016
Rushing Offense,46,183.0,Utah  Utes,2016
Passing Offense,106,180.0,Utah  Utes,2016
Team Passing Efficiency,73,127.29,Utah  Utes,2016
Scoring Offense,T-55,30.6,Utah  Utes,2016
Total Defense,41,366.8,Utah  Utes,2016
Rushing Defense,6,108.6,Utah  Utes,2016
Passing Yards Allowed,102,258.2,Utah  Utes,2016
Team Passing Efficiency Defense,33,117.21,Utah  Utes,2016
Scoring Defense,31,22.3,Utah  Utes,2016
Turnover Margin,T-4,1.00,Utah  Utes,2016
3rd Down Conversion Pct,54,0.410,Utah  Utes,2016
4th Down Conversion Pct,T-14,0.667,Utah  Utes,2016
3rd Down Conversion Pct Defense,69,0.394,Utah  Utes,2016
4th Down Conversion Pct Defense,T-88,0.545,Utah  Utes,2016
Red Zone Offense,10,0.913,Utah  Utes,2016
Red Zone Defense,T-56,0.826,Utah  Utes,2016
Net Punting,1,43.70,Utah  Utes,2016
Punt Returns,38,10.83,Utah  Utes,2016
Kickoff Returns,46,21.90,Utah  Utes,2016
First Downs Offense,63,263,Utah  Utes,2016
First Downs Defense,T-54,253,Utah  Utes,2016
Fewest Penalties Per Game,T-41,5.54,Utah  Utes,2016
Fewest Penalty Yards Per Game,57,53.31,Utah  Utes,2016
Time of Possession,18,32:43,Utah  Utes,2016
Total Offense,93,370.6,Utah St. Aggies,2016
Rushing Offense,71,165.1,Utah St. Aggies,2016
Passing Offense,88,205.5,Utah St. Aggies,2016
Team Passing Efficiency,77,124.75,Utah St. Aggies,2016
Scoring Offense,64,29.0,Utah St. Aggies,2016
Total Defense,17,332.5,Utah St. Aggies,2016
Rushing Defense,47,151.9,Utah St. Aggies,2016
Passing Yards Allowed,12,180.5,Utah St. Aggies,2016
Team Passing Efficiency Defense,48,121.81,Utah St. Aggies,2016
Scoring Defense,61,26.7,Utah St. Aggies,2016
Turnover Margin,84,-0.15,Utah St. Aggies,2016
3rd Down Conversion Pct,99,0.359,Utah St. Aggies,2016
4th Down Conversion Pct,T-66,0.500,Utah St. Aggies,2016
3rd Down Conversion Pct Defense,21,0.338,Utah St. Aggies,2016
4th Down Conversion Pct Defense,58,0.480,Utah St. Aggies,2016
Red Zone Offense,118,0.721,Utah St. Aggies,2016
Red Zone Defense,T-102,0.884,Utah St. Aggies,2016
Net Punting,52,37.89,Utah St. Aggies,2016
Punt Returns,49,9.75,Utah St. Aggies,2016
Kickoff Returns,10,25.64,Utah St. Aggies,2016
First Downs Offense,77,252,Utah St. Aggies,2016
First Downs Defense,22,229,Utah St. Aggies,2016
Fewest Penalties Per Game,76,6.38,Utah St. Aggies,2016
Fewest Penalty Yards Per Game,88,58.92,Utah St. Aggies,2016
Time of Possession,87,28:48,Utah St. Aggies,2016
Total Offense,116,326.5,Vanderbilt Commodores,2016
Rushing Offense,87,154.7,Vanderbilt Commodores,2016
Passing Offense,111,171.8,Vanderbilt Commodores,2016
Team Passing Efficiency,117,98.27,Vanderbilt Commodores,2016
Scoring Offense,T-123,15.2,Vanderbilt Commodores,2016
Total Defense,28,350.5,Vanderbilt Commodores,2016
Rushing Defense,33,143.2,Vanderbilt Commodores,2016
Passing Yards Allowed,41,207.3,Vanderbilt Commodores,2016
Team Passing Efficiency Defense,28,114.47,Vanderbilt Commodores,2016
Scoring Defense,22,21.0,Vanderbilt Commodores,2016
Turnover Margin,109,-0.67,Vanderbilt Commodores,2016
3rd Down Conversion Pct,88,0.373,Vanderbilt Commodores,2016
4th Down Conversion Pct,106,0.389,Vanderbilt Commodores,2016
3rd Down Conversion Pct Defense,6,0.282,Vanderbilt Commodores,2016
4th Down Conversion Pct Defense,4,0.235,Vanderbilt Commodores,2016
Red Zone Offense,126,0.636,Vanderbilt Commodores,2016
Red Zone Defense,6,0.714,Vanderbilt Commodores,2016
Net Punting,119,33.52,Vanderbilt Commodores,2016
Punt Returns,90,6.35,Vanderbilt Commodores,2016
Kickoff Returns,100,19.60,Vanderbilt Commodores,2016
First Downs Offense,T-115,211,Vanderbilt Commodores,2016
First Downs Defense,4,206,Vanderbilt Commodores,2016
Fewest Penalties Per Game,64,6.08,Vanderbilt Commodores,2016
Fewest Penalty Yards Per Game,38,47.17,Vanderbilt Commodores,2016
Time of Possession,25,32:07,Vanderbilt Commodores,2016
Total Offense,75,383.0,Virginia  Cavaliers,2016
Rushing Offense,99,144.8,Virginia  Cavaliers,2016
Passing Offense,51,238.3,Virginia  Cavaliers,2016
Team Passing Efficiency,74,127.23,Virginia  Cavaliers,2016
Scoring Offense,89,25.8,Virginia  Cavaliers,2016
Total Defense,79,411.5,Virginia  Cavaliers,2016
Rushing Defense,50,156.6,Virginia  Cavaliers,2016
Passing Yards Allowed,96,254.9,Virginia  Cavaliers,2016
Team Passing Efficiency Defense,116,151.67,Virginia  Cavaliers,2016
Scoring Defense,96,32.2,Virginia  Cavaliers,2016
Turnover Margin,110,-0.75,Virginia  Cavaliers,2016
3rd Down Conversion Pct,38,0.425,Virginia  Cavaliers,2016
4th Down Conversion Pct,T-56,0.533,Virginia  Cavaliers,2016
3rd Down Conversion Pct Defense,54,0.369,Virginia  Cavaliers,2016
4th Down Conversion Pct Defense,T-51,0.474,Virginia  Cavaliers,2016
Red Zone Offense,31,0.879,Virginia  Cavaliers,2016
Red Zone Defense,47,0.809,Virginia  Cavaliers,2016
Net Punting,44,38.39,Virginia  Cavaliers,2016
Punt Returns,6,16.00,Virginia  Cavaliers,2016
Kickoff Returns,120,17.67,Virginia  Cavaliers,2016
First Downs Offense,88,243,Virginia  Cavaliers,2016
First Downs Defense,T-39,246,Virginia  Cavaliers,2016
Fewest Penalties Per Game,115,7.58,Virginia  Cavaliers,2016
Fewest Penalty Yards Per Game,100,63.83,Virginia  Cavaliers,2016
Time of Possession,19,32:41,Virginia  Cavaliers,2016
Total Offense,74,385.1,Virginia Tech Hokies,2016
Rushing Offense,81,159.2,Virginia Tech Hokies,2016
Passing Offense,64,225.8,Virginia Tech Hokies,2016
Team Passing Efficiency,56,132.19,Virginia Tech Hokies,2016
Scoring Offense,53,31.0,Virginia Tech Hokies,2016
Total Defense,44,369.8,Virginia Tech Hokies,2016
Rushing Defense,75,180.7,Virginia Tech Hokies,2016
Passing Yards Allowed,19,189.2,Virginia Tech Hokies,2016
Team Passing Efficiency Defense,38,119.25,Virginia Tech Hokies,2016
Scoring Defense,59,26.3,Virginia Tech Hokies,2016
Turnover Margin,39,0.31,Virginia Tech Hokies,2016
3rd Down Conversion Pct,75,0.383,Virginia Tech Hokies,2016
4th Down Conversion Pct,T-29,0.615,Virginia Tech Hokies,2016
3rd Down Conversion Pct Defense,20,0.335,Virginia Tech Hokies,2016
4th Down Conversion Pct Defense,T-62,0.500,Virginia Tech Hokies,2016
Red Zone Offense,47,0.865,Virginia Tech Hokies,2016
